Роман,Преступление и наказание,Фёдор Достоевский
Рассказ,Белая гвардия,Михаил Булгаков
Роман,Анна Каренина,Лев Толстой
Рассказ,Дама с собачкой,Антон Чехов
Роман,Мастер и Маргарита,Михаил Булгаков
Рассказ,Станционный смотритель,Аркадий и Борис Стругацкие
Роман,Война и мир,Лев Толстой
Рассказ,Каштанка,Антон Чехов
Роман,Обломов,Иван Гончаров
Рассказ,Три толстяка,Алексей Толстой
Роман,Мёртвые души,Николай Гоголь
Рассказ,Записки сумасшедшего,Николай Гоголь
Роман,Идиот,Фёдор Достоевский
Рассказ,Детство,Лев Толстой
Роман,А зори здесь тихие,Борис Васильев
Рассказ,Вишнёвый сад,Антон Чехов
Роман,Собачье сердце,Михаил Булгаков
Рассказ,Красное колесо,Аркадий и Борис Стругацкие
Роман,Братья Карамазовы,Фёдор Достоевский
Рассказ,На дне,Максим Горький
Роман,Тихий Дон,Михаил Шолохов
Рассказ,Очарованный странник,Николай Лесков
Роман,Доктор Живаго,Борис Пастернак
Рассказ,Белый пудель,Антон Чехов
Роман,Судьба человека,Михаил
